Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,JLCASSY,MPN
1,,ANT-CERAMIC-YAGEO-ANT3216LL00R2400A,ANT2,ANT3216LL00R2400A,YAGEO-ANT3216LL00R2400A,1, ,,C293767,
2,,CAP-0402,C23 C24,8p,_PKG_C_0402,2, ,,C1578,
3,,CAP-0402-NOTHERMALS,C26 C28 C29 C30 C32,100n,_PKG_C_0402_NOTHERMALS,5, ,,C307331,
4,,CAP-0402,C4 C5 C6 C31,100n,_PKG_C_0402,4, ,,C307331,
5,,CAP-0402-NOTHERMALS,C25 C27,4u7,_PKG_C_0402_NOTHERMALS,2, ,,C23733,
6,,CAP-1206,C1 C2 C3 C33 C34,47u,_PKG_C_1206,5, ,,C96123,CL31A476MPHNNNE
7,,CAP-0402-NOTHERMALS,C21 C22,TBD,_PKG_C_0402_NOTHERMALS,2, ,,,
8,,STEMMA_I2C_QT,CON2,STEMMA_I2C_QT,JST_SH4,1, ,,C145956,
9,,USBC_USB-C-12,CON1,USBC_USB-C-12,USBC_C-31-M-12,1, ,,C165948,
10,,DIODE-SWITCHING-1N4148W,D1,DIODE-SWITCHING-1N4148W,_PKG_SOD123,1, ,,,
11,,INTERFACE-CH343G,IC1,INTERFACE-CH343G,_PKG_SOP16,1, ,,C2844153,
12,,POWER-LDO-LD1117-SOT223-4,IC2,LD1117-3.3,_PKG_SOT223-4_TI-DCY4,1, ,,C6186,
13,,WMCU-ESP8285H16,IC4,WMCU-ESP8285H16,QFN50P500X500X90-33N,1, ,,C967019,
14,,6103XX21121_61030621121,J1,6103XX21121_61030621121,61030621121,1, ,,C780054,
15,,INDUCTOR-0402,L2,TBD,_PKG_L_0402,1, ,,,
16,,WS2812B5050,LED1,WS2812B5050,WS2812B,1, ,,,
17,,MODULE_ESP-12S,MOD2,ESP-12S,ESP-12S,1, ,,C82898,
18,,PIEZO-MLT-8530,P1,Buzzer,MLT-8530,1, ,,C94599,
19,,NPN-MMBT5550LT1G,Q1 Q2 Q3,SS8050,SOT96P237X111-3N,3, ,,C2150,
20,,RES-0603,R1,220,_PKG_R_0603,1, ,,C22962,
21,,RES-0603,R2 R3,5k1,_PKG_R_0603,2, ,,C23186,
22,,RES-0402,R4 R5 R12 R13 R14 R15 R16 R17,12k 1%,_PKG_R_0402,8, ,,C25752,
23,,SJ-SHORT,SJ1 SJ2 SJ3 SJ4,SJ-SHORT,SJ-SHORT,4, ,,,
24,,PUSHBUTTON-6X6MM,SW1 SW2 SW3 SW4 SW5 SW6 SW7,PUSHBUTTON-6X6MM,GENERIC_SPNO_4P_6X6MM,7, ,,C620316,
25,,XTAL-4P-2016,XT2,26MHz,XTAL-4P-2016,1, ,,C2762193,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-07_18-13-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,25
Component Count:,58 (0 SMD/ 0 THT)
Fitted Components:,58 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,58
